,Id,Price,RoomNr,Surface,ZIP,Latitude,Longitude
227,5806128,1550.0,3.0,72.0,6003,47.04545,8.30941
228,5915494,1550.0,3.5,94.0,6020,47.09086,8.2802
229,5920608,1550.0,3.5,75.0,6006,47.05617,8.34996
230,5943792,1550.0,3.0,82.0,6003,47.04545,8.30942
231,5959415,1550.0,3.0,70.0,6005,47.04111,8.31467
232,5970345,1550.0,1.0,30.0,6005,47.03964,8.30826
234,5950659,1555.0,3.0,74.0,6010,47.03178,8.27393
235,4043998,1560.0,2.5,69.0,6032,47.07466,8.2906
236,5720623,1560.0,3.0,70.0,6004,47.05517,8.31089
237,5879656,1560.0,4.0,96.0,6020,47.07672,8.27599
238,5882598,1560.0,4.0,70.0,6010,47.03384,8.27196
239,3529953,1563.0,2.5,45.0,6004,47.059,8.30956
240,5589873,1570.0,3.5,72.0,6030,47.07518,8.33544
241,5858585,1570.0,3.5,82.0,6015,47.06027,8.27996
242,5941072,1570.0,1.5,75.0,6010,47.02804,8.30047
243,5954072,1570.0,3.0,60.0,6004,47.05602,8.29875
244,5956144,1570.0,3.5,75.0,6030,47.07495,8.33503
245,5635840,1580.0,4.0,83.0,6010,47.03102,8.27598
246,5898379,1580.0,3.5,78.0,6030,47.07311,8.32867
247,5919986,1580.0,4.5,77.0,6030,47.08158,8.3451
248,5932055,1580.0,2.5,53.0,6003,47.05423,8.29438
249,5976574,1580.0,3.0,70.0,6020,47.0801,8.27258
250,5806435,1590.0,2.5,57.0,6020,47.08147,8.27483
251,5834706,1590.0,3.0,57.0,6004,47.05815,8.30127
253,5869283,1590.0,2.5,85.0,6006,47.05554,8.35663
254,5906896,1590.0,3.5,65.0,6003,47.04496,8.30626
255,5910444,1590.0,4.5,80.0,6020,47.07584,8.27683
258,5943793,1590.0,3.0,82.0,6003,47.0458,8.30954
259,5951189,1590.0,3.5,75.0,6014,47.05298,8.27643
260,5963053,1590.0,3.5,84.0,6043,47.06542,8.36469
261,5967405,1590.0,3.5,81.0,6020,47.07293,8.2854
262,5883905,1600.0,2.5,56.0,6010,47.03512,8.28557
264,5910882,1600.0,3.5,58.0,6048,47.01299,8.31063
266,5914704,1600.0,3.5,70.0,6006,47.05695,8.35097
267,5917443,1600.0,3.5,85.0,6030,47.0846,8.33822
